ID,Time,Brightness,Contrast,Threshold,Erosion,Dialation,Description
1,2023-12-20T14:28:27,0.0,1.7,32,1,1,
2,2023-12-20T14:31:46,-8.151098901098909,4.527472527472526,38,1,3,
3,2024-01-05T09:56:59,0.0,5.252747252747252,28,1,3,
4,2024-01-05T10:18:01,-13.049450549450547,9.208791208791208,40,3,5,
5,2024-01-08T09:11:40,-9.35989010989011,5.565934065934066,45,3,1,
6,2024-01-08T10:02:00,-9.4532967032967,5.4010989010989015,45,2,3,
7,2024-01-08T10:40:07,-9.35989010989011,5.5989010989010985,42,2,1,
8,2024-01-08T11:08:38,-9.406593406593409,5.5494505494505475,42,2,3,
9,2024-01-31T11:37:07,-7.304945054945058,8.483516483516482,42,2,3,
10,2024-02-01T13:11:22,-9.4,7.3791208791208796,42,2,3,
11,2024-02-02T09:44:29,-9.266483516483518,11.928571428571427,42,2,3,
12,2024-02-02T10:17:44,-18.28021978021978,12.027472527472526,42,2,3,
13,2025-10-17T15:27:28,-10.247252747252745,3.3736263736263723,43,2,3,
14,2025-10-17T15:28:36,-18.2,12.83216783216783,42,2,3,
15,2025-10-17T15:29:52,-22.616550116550115,16.67832167832168,42,2,3,
